id,qnat-0_MS_AA,qnat-1_MS_AA,qnat-2_MS_AA,qnat-3_MS_AA,qnat-4_MS_AA,qnat-5_MS_AA,qnat-6_MS_AA,Vnat-0_MS_AA,Vnat-1_MS_AA,Vnat-2_MS_AA,Vnat-3_MS_AA,Vnat-4_MS_AA,Vnat-5_MS_AA,Vnat-6_MS_AA,Ns-0_MS_AA,Ns-1_MS_AA,Ns-2_MS_AA,Ns-3_MS_AA,Ns-4_MS_AA,Ns-5_MS_AA,Ns-6_MS_AA,Np-0_MS_AA,Np-1_MS_AA,Np-2_MS_AA,Np-3_MS_AA,Np-4_MS_AA,Np-5_MS_AA,Np-6_MS_AA,Nd-0_MS_AA,Nd-1_MS_AA,Nd-2_MS_AA,Nd-3_MS_AA,Nd-4_MS_AA,Nd-5_MS_AA,Nd-6_MS_AA,Nlp-0_MS_AA,Nlp-1_MS_AA,Nlp-2_MS_AA,Nlp-3_MS_AA,Nlp-4_MS_AA,Nlp-5_MS_AA,Nlp-6_MS_AA,LPde-0_MS_AA,LPde-1_MS_AA,LPde-2_MS_AA,LPde-3_MS_AA,LPde-4_MS_AA,LPde-5_MS_AA,LPde-6_MS_AA,LPe-0_MS_AA,LPe-1_MS_AA,LPe-2_MS_AA,LPe-3_MS_AA,LPe-4_MS_AA,LPe-5_MS_AA,LPe-6_MS_AA,LPocc-0_MS_AA,LPocc-1_MS_AA,LPocc-2_MS_AA,LPocc-3_MS_AA,LPocc-4_MS_AA,LPocc-5_MS_AA,LPocc-6_MS_AA,LPs-0_MS_AA,LPs-1_MS_AA,LPs-2_MS_AA,LPs-3_MS_AA,LPs-4_MS_AA,LPs-5_MS_AA,LPs-6_MS_AA,LPp-0_MS_AA,LPp-1_MS_AA,LPp-2_MS_AA,LPp-3_MS_AA,LPp-4_MS_AA,LPp-5_MS_AA,LPp-6_MS_AA,LPd-0_MS_AA,LPd-1_MS_AA,LPd-2_MS_AA,LPd-3_MS_AA,LPd-4_MS_AA,LPd-5_MS_AA,LPd-6_MS_AA,Nlv-0_MS_AA,Nlv-1_MS_AA,Nlv-2_MS_AA,Nlv-3_MS_AA,Nlv-4_MS_AA,Nlv-5_MS_AA,Nlv-6_MS_AA,LVde-0_MS_AA,LVde-1_MS_AA,LVde-2_MS_AA,LVde-3_MS_AA,LVde-4_MS_AA,LVde-5_MS_AA,LVde-6_MS_AA,LVe-0_MS_AA,LVe-1_MS_AA,LVe-2_MS_AA,LVe-3_MS_AA,LVe-4_MS_AA,LVe-5_MS_AA,LVe-6_MS_AA,LVocc-0_MS_AA,LVocc-1_MS_AA,LVocc-2_MS_AA,LVocc-3_MS_AA,LVocc-4_MS_AA,LVocc-5_MS_AA,LVocc-6_MS_AA,LVs-0_MS_AA,LVs-1_MS_AA,LVs-2_MS_AA,LVs-3_MS_AA,LVs-4_MS_AA,LVs-5_MS_AA,LVs-6_MS_AA,LVp-0_MS_AA,LVp-1_MS_AA,LVp-2_MS_AA,LVp-3_MS_AA,LVp-4_MS_AA,LVp-5_MS_AA,LVp-6_MS_AA,LVd-0_MS_AA,LVd-1_MS_AA,LVd-2_MS_AA,LVd-3_MS_AA,LVd-4_MS_AA,LVd-5_MS_AA,LVd-6_MS_AA,I-0_MS_AA,I-1_MS_AA,I-2_MS_AA,I-3_MS_AA,I-4_MS_AA,I-5_MS_AA,I-6_MS_AA
ir_tbp_1_dft-pme3_1_dft-pme3_1_dft-iacn_1_chloride_1_smi1_1_s_1,-0.61304,0.54965,-8.48805,-1.62694,-0.24328,0.0,0.0,18.5227,56.10276,100.0874,193.70253,30.09796,0.0,0.0,1.5,8.52,13.67,28.66,4.57,0.0,0.0,0.02,13.64,26.99,3.55,0.03,0.0,0.0,17.08,34.25,59.79,162.26,25.62,0.0,0.0,8.0,21.0,28.0,76.0,12.0,0.0,0.0,0.1034,0.59838,0.3619,0.9823,0.1551,0.0,0.0,-0.29126,-0.83966,-1.01941,-2.76697,-0.43689,0.0,0.0,3.95518,11.22214,13.84313,37.57421,5.93277,0.0,0.0,0.1148,0.392,0.4018,1.0906,0.1722,0.0,0.0,0.0002,1.837,0.0007,0.0019,0.0003,0.0,0.0,1.885,3.771,6.5975,17.9075,2.8275,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,8.0,14.0,38.0,6.0,0.0,0.0
ir_tbp_1_dft-pme3_1_dft-pme3_1_dft-iacn_1_chloride_1_smi1_1_s_1,-0.61304,0.54965,-8.48805,-1.62694,-0.24328,0.0,0.0,18.5227,56.10276,100.0874,193.70253,30.09796,0.0,0.0,1.5,8.52,13.67,28.66,4.57,0.0,0.0,0.02,13.64,26.99,3.55,0.03,0.0,0.0,17.08,34.25,59.79,162.26,25.62,0.0,0.0,8.0,21.0,28.0,76.0,12.0,0.0,0.0,0.1034,0.59838,0.3619,0.9823,0.1551,0.0,0.0,-0.29126,-0.83966,-1.01941,-2.76697,-0.43689,0.0,0.0,3.95518,11.22214,13.84313,37.57421,5.93277,0.0,0.0,0.1148,0.392,0.4018,1.0906,0.1722,0.0,0.0,0.0002,1.837,0.0007,0.0019,0.0003,0.0,0.0,1.885,3.771,6.5975,17.9075,2.8275,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,8.0,14.0,38.0,6.0,0.0,0.0
ir_tbp_1_dft-ime_1_dft-ime_1_dft-iacn_1_fluoride_1_smi1_1_s_1,0.15074,0.48526,-1.78694,-1.85282,5.86783,0.0,0.0,16.33398,51.36006,67.94238,111.90655,169.67123,0.0,0.0,1.46,8.07,9.67,15.74,28.36,0.0,0.0,0.02,13.68,21.14,29.4,0.19,0.0,0.0,16.34,32.71,40.86,73.53,155.23,0.0,0.0,6.0,17.0,18.0,27.0,57.0,0.0,0.0,0.15476,0.89794,0.3869,0.69642,1.47022,0.0,0.0,-0.1665,-0.69044,-1.02279,-0.74925,-1.58175,0.0,0.0,3.9459,11.33421,14.44297,17.75655,37.48605,0.0,0.0,0.1856,0.7612,0.4671,0.8352,1.7632,0.0,0.0,0.0002,1.6103,2.9965,0.0009,0.0019,0.0,0.0,1.8142,3.6285,4.5364,8.1639,17.2349,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,8.0,10.0,18.0,38.0,0.0,0.0
ir_tbp_1_dft-ime_1_dft-ime_1_dft-iacn_1_fluoride_1_smi1_1_s_1,0.15074,0.48526,-1.78694,-1.85282,5.86783,0.0,0.0,16.33398,51.36006,67.94238,111.90655,169.67123,0.0,0.0,1.46,8.07,9.67,15.74,28.36,0.0,0.0,0.02,13.68,21.14,29.4,0.19,0.0,0.0,16.34,32.71,40.86,73.53,155.23,0.0,0.0,6.0,17.0,18.0,27.0,57.0,0.0,0.0,0.15476,0.89794,0.3869,0.69642,1.47022,0.0,0.0,-0.1665,-0.69044,-1.02279,-0.74925,-1.58175,0.0,0.0,3.9459,11.33421,14.44297,17.75655,37.48605,0.0,0.0,0.1856,0.7612,0.4671,0.8352,1.7632,0.0,0.0,0.0002,1.6103,2.9965,0.0009,0.0019,0.0,0.0,1.8142,3.6285,4.5364,8.1639,17.2349,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,8.0,10.0,18.0,38.0,0.0,0.0
ir_tbp_1_dft-asme3_1_dft-nme3_1_dft-hicn_1_dft-itcn_1_smi1_1_s_1,-0.14606,0.01036,-5.48527,3.21101,0.0,0.0,0.0,18.0773,54.72716,110.09064,201.01758,0.0,0.0,0.0,1.4,7.99,14.82,29.89,0.0,0.0,0.0,0.02,13.5,28.73,4.56,0.0,0.0,0.0,16.7,33.43,66.82,167.02,0.0,0.0,0.0,6.0,14.0,25.0,63.0,0.0,0.0,0.0,0.1578,0.3156,0.6312,1.85637,0.0,0.0,0.0,-0.24692,-1.086,-1.27,-2.62498,0.0,0.0,0.0,3.94824,11.29896,17.47103,41.11489,0.0,0.0,0.0,0.1576,0.9195,0.982,1.576,0.0,0.0,0.0,0.0002,1.3959,0.6481,1.0001,0.0,0.0,0.0,1.842,3.6842,7.3691,18.4219,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,8.0,16.0,40.0,0.0,0.0,0.0
ir_tbp_1_dft-asme3_1_dft-nme3_1_dft-hicn_1_dft-itcn_1_smi1_1_s_1,-0.14606,0.01036,-5.48527,3.21101,0.0,0.0,0.0,18.0773,54.72716,110.09064,201.01758,0.0,0.0,0.0,1.4,7.99,14.82,29.89,0.0,0.0,0.0,0.02,13.5,28.73,4.56,0.0,0.0,0.0,16.7,33.43,66.82,167.02,0.0,0.0,0.0,6.0,14.0,25.0,63.0,0.0,0.0,0.0,0.1578,0.3156,0.6312,1.85637,0.0,0.0,0.0,-0.24692,-1.086,-1.27,-2.62498,0.0,0.0,0.0,3.94824,11.29896,17.47103,41.11489,0.0,0.0,0.0,0.1576,0.9195,0.982,1.576,0.0,0.0,0.0,0.0002,1.3959,0.6481,1.0001,0.0,0.0,0.0,1.842,3.6842,7.3691,18.4219,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,8.0,16.0,40.0,0.0,0.0,0.0
ir_tbp_1_dft-pph3_1_dft-iz_1_dft-iacn_1_chloride_1_smi1_1_s_1,-0.19812,-0.03241,-1.87885,-2.98536,-0.20102,-0.15944,0.4031,18.1175,56.74209,80.4979,140.39933,187.39058,98.73844,29.46745,1.44,8.47,10.26,18.42,26.11,13.92,4.44,0.02,15.04,20.39,30.46,19.78,9.88,0.03,16.74,33.53,50.23,92.07,142.29,75.33,25.11,8.0,22.0,24.0,44.0,68.0,36.0,12.0,0.10996,0.68339,0.32988,0.60478,0.93466,0.49482,0.16494,-0.26312,-0.92839,-0.78936,-1.44716,-2.23652,-1.18404,-0.39468,3.94972,11.16946,11.84916,21.72346,33.57262,17.77374,5.92458,0.1492,0.3017,0.4476,0.8206,1.2682,0.6714,0.2238,0.0004,1.9966,0.0012,0.0022,0.0034,0.0018,0.0006,1.8504,3.7017,5.5512,10.1772,15.7284,8.3268,2.7756,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,8.0,12.0,22.0,34.0,18.0,6.0
ir_tbp_1_dft-pph3_1_dft-iz_1_dft-iacn_1_chloride_1_smi1_1_s_1,-0.19812,-0.03241,-1.87885,-2.98536,-0.20102,-0.15944,0.4031,18.1175,56.74209,80.4979,140.39933,187.39058,98.73844,29.46745,1.44,8.47,10.26,18.42,26.11,13.92,4.44,0.02,15.04,20.39,30.46,19.78,9.88,0.03,16.74,33.53,50.23,92.07,142.29,75.33,25.11,8.0,22.0,24.0,44.0,68.0,36.0,12.0,0.10996,0.68339,0.32988,0.60478,0.93466,0.49482,0.16494,-0.26312,-0.92839,-0.78936,-1.44716,-2.23652,-1.18404,-0.39468,3.94972,11.16946,11.84916,21.72346,33.57262,17.77374,5.92458,0.1492,0.3017,0.4476,0.8206,1.2682,0.6714,0.2238,0.0004,1.9966,0.0012,0.0022,0.0034,0.0018,0.0006,1.8504,3.7017,5.5512,10.1772,15.7284,8.3268,2.7756,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,8.0,12.0,22.0,34.0,18.0,6.0
ir_tbp_1_dft-pyz_1_dft-sime_1_dft-iacn_1_dft-itcn_1_smi1_1_s_1,0.17898,-0.054,-0.67024,-0.59913,4.45549,0.0,0.0,17.75562,53.802,81.37216,126.13077,158.95154,0.0,0.0,1.42,7.72,10.63,17.56,24.22,0.0,0.0,0.02,13.53,21.86,27.09,4.21,0.0,0.0,16.36,32.74,49.09,81.82,130.89,0.0,0.0,8.0,18.0,25.0,43.0,65.0,0.0,0.0,0.191,0.382,0.573,1.2337,1.528,0.0,0.0,-0.19998,-1.00718,-0.8239,-1.15075,-1.85716,0.0,0.0,3.93886,11.3003,13.45181,21.34553,33.42782,0.0,0.0,0.183,1.0715,0.5537,0.915,1.7614,0.0,0.0,0.0002,1.2945,0.9958,0.9992,0.7032,0.0,0.0,1.8168,3.634,5.4505,9.0858,14.5354,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,8.0,12.0,20.0,32.0,0.0,0.0
ir_tbp_1_dft-pyz_1_dft-sime_1_dft-iacn_1_dft-itcn_1_smi1_1_s_1,0.17898,-0.054,-0.67024,-0.59913,4.45549,0.0,0.0,17.75562,53.802,81.37216,126.13077,158.95154,0.0,0.0,1.42,7.72,10.63,17.56,24.22,0.0,0.0,0.02,13.53,21.86,27.09,4.21,0.0,0.0,16.36,32.74,49.09,81.82,130.89,0.0,0.0,8.0,18.0,25.0,43.0,65.0,0.0,0.0,0.191,0.382,0.573,1.2337,1.528,0.0,0.0,-0.19998,-1.00718,-0.8239,-1.15075,-1.85716,0.0,0.0,3.93886,11.3003,13.45181,21.34553,33.42782,0.0,0.0,0.183,1.0715,0.5537,0.915,1.7614,0.0,0.0,0.0002,1.2945,0.9958,0.9992,0.7032,0.0,0.0,1.8168,3.634,5.4505,9.0858,14.5354,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,8.0,12.0,20.0,32.0,0.0,0.0
